,id,type,name,canonical,cached_count,merger_id
3225685,10843759,Fandom,Mystic Messenger (Video Game),True,10072,
71381,103325,Fandom,Compilation of Final Fantasy VII,True,9964,
77290,112021,Fandom,Sherlock - Fandom,False,9922,133185.0
4509,5450,Fandom,No Fandom,True,9912,
80270,116314,Fandom,Hunger Games Trilogy - Suzanne Collins,True,9911,
176251,269708,Fandom,Twilight Series - Stephenie Meyer,True,9855,
558591,841899,Fandom,5 Seconds of Summer (Band),True,9780,
20017,25486,Fandom,Actor RPF,True,9704,
921971,1320148,Fandom,全职高手 - 蝴蝶蓝 | Quánzhí Gāoshǒu - Húdié Lán,True,9697,
708,839,Fandom,X-Men (Movieverse),True,9683,
867,1014,Fandom,Law & Order: SVU,True,9673,
4397617,15764730,Fandom,Mass Effect Trilogy,True,9667,
366,450,Fandom,The West Wing,True,9661,
34162,47474,Fandom,Danny Phantom,True,9648,
992184,1486363,Fandom,ダイヤのA | Daiya no A | Ace of Diamond,True,9599,
4918125,17959080,Fandom,Men's Hockey RPF,True,9578,
17376,21927,Fandom,Transformers Generation One,True,9550,
2827778,9162187,Fandom,Rogue One: A Star Wars Story (2016),True,9422,
10238,12741,Fandom,Harry Potter - Fandom,False,9332,136512.0
17391,21944,Fandom,Devil May Cry,True,9331,
5874445,22001796,Fandom,Buffy the Vampire Slayer (TV),True,9277,
639066,947018,Fandom,Twenty One Pilots,True,9251,
1152113,2129537,Fandom,Tokyo Ghoul,True,9248,
258570,452874,Fandom,Pocket Monsters | Pokemon (Main Video Game Series),True,9221,
35100,48925,Fandom,SPN,False,9170,27.0
651405,964594,Fandom,名探偵コナン | Detective Conan | Case Closed,True,9126,
6505354,24557565,Fandom,ATEEZ (Band),True,9106,
220,250,Fandom,Firefly,True,9053,
629054,933501,Fandom,Welcome to Night Vale,True,9021,
258131,452309,Fandom,Hunger Games Series - All Media Types,True,8999,
11214,13907,Fandom,Marvel 616,True,8946,
887,1039,Fandom,Queer as Folk (US),True,8844,
5843278,21872622,Fandom,鬼滅の刃 | Kimetsu no Yaiba (Manga),True,8796,
66749,96137,Fandom,Marvel (Movies),False,8714,7266.0
6913,8474,Fandom,Star Trek: Deep Space Nine,True,8675,
1946924,5493837,Fandom,Fire Emblem: If | Fire Emblem: Fates,True,8630,
394879,628622,Fandom,Raven Cycle - Maggie Stiefvater,True,8542,
206952,309473,Fandom,Elder Scrolls V: Skyrim,True,8533,
421121,662604,Fandom,Deadpool - All Media Types,True,8466,
4147,5032,Fandom,Gundam Wing,True,8457,
3232495,10872934,Fandom,Kingsman (Movies),True,8347,
1173075,2207797,Fandom,How to Train Your Dragon (Movies),True,8294,
513167,782522,Fandom,Fire Emblem: Kakusei | Fire Emblem: Awakening,True,8215,
582725,872785,Fandom,Pacific Rim (2013),False,8199,14361017.0
2316141,7048385,Fandom,おそ松さん | Osomatsu-san (Anime),True,8114,
8226767,31516237,Fandom,The Mandalorian (TV),True,8094,
6554989,24757434,Fandom,Mo Dao Zu Shi,False,8076,11987966.0
921383,1319330,Fandom,JinKook,False,8070,1002903.0
105102,152669,Fandom,Emmerdale,True,7974,
6870623,26034884,Fandom,Men's Football RPF,True,7964,
1643724,4232084,Fandom,Kingsman,False,7946,10872934.0
245712,436476,Fandom,One Direction,False,7892,449545.0
1315976,2814336,Fandom,Guardians of the Galaxy (Movies),True,7832,
8889824,34135873,Fandom,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),True,7832,
9057,11232,Fandom,World of Warcraft,True,7802,
81353,117953,Fandom,Sherlock Holmes - Arthur Conan Doyle,True,7702,
2824848,9149275,Fandom,Wynonna Earp (TV),True,7690,
12526,15567,Fandom,British Actor RPF,True,7668,
57321,81269,Fandom,Persona Series,True,7652,
3066499,10168544,Fandom,The Legend of Zelda: Breath of the Wild,True,7643,
580676,870188,Fandom,Fallout (Video Games),True,7587,
13915,17431,Fandom,Panic! at the Disco,True,7520,
3170832,10613413,Fandom,mha,False,7393,3828398.0
11006,13665,Fandom,Persona 4,True,7337,
190752,289943,Fandom,Twilight Series - All Media Types,True,7318,
1393746,3132749,Fandom,Star Wars: Rebels,True,7292,
11565790,44512552,Fandom,The Old Guard (Movie 2020),True,7263,
529781,804163,Fandom,VIXX,True,7256,
2581669,8155180,Fandom,NCT,False,7243,9139561.0
4391794,15740595,Fandom,Be More Chill - Iconis/Tracz,True,7166,
6101233,22959333,Fandom,第五人格 | Identity V (Video Game),True,7155,
2311,2701,Fandom,Star Trek: Enterprise,True,7140,
3796268,13220272,Fandom,Assassin's Creed - All Media Types,True,7123,
144347,225713,Fandom,Transformers: Prime,True,7109,
2075739,6042249,Fandom,TOLKIEN J. R. R. - Works & Related Fandoms,True,7094,
2340388,7150409,Fandom,TWICE (Band),True,7029,
121113,186923,Fandom,Queen (Band),True,6989,
